자치구별,2019년,2020년,2021년,2022년,2023년
종로구,3846,3102,2712,3138,2981
중구,4327,3411,2861,3071,3348
용산구,3313,2969,2381,2967,3021
성동구,2512,2362,2112,2194,2023
광진구,4011,3601,3087,3619,3424
동대문구,3692,3401,2959,3253,2957
중랑구,4268,3726,3210,3599,3324
성북구,2877,2567,2411,2749,2411
강북구,3838,2770,2301,2832,2497
도봉구,2110,2179,1860,2141,1921
노원구,4153,3743,3425,3896,3567
은평구,3880,3390,3244,3487,3493
서대문구,2943,2533,2278,2374,2385
마포구,4842,3688,3540,4096,3834
양천구,3214,3216,3015,3169,3019
강서구,4924,4415,3896,4663,4296
구로구,4707,4175,3486,3857,3737
금천구,3105,2598,2439,2577,2240
영등포구,5820,5217,4179,4819,4418
동작구,3400,3200,2631,2735,2642
관악구,5328,5261,4444,4879,4769
서초구,5542,4601,3656,4459,4522
강남구,7304,7356,6146,6947,6763
송파구,5698,5410,4714,5167,5223
강동구,4014,3788,3458,3711,3398
